Pojem česky	Definice česky
 Délka závitu	Jmenovitá délka závitu
 Počet matic	Počet matic našroubovaných na jednom šroubu
 Počet podložek	Počet podložek osazených na jednom šroubu
 Tvar hlavy	Tvar hlavy šroubu, například ‚Šestihranná‘, ‚Zapuštěná‘, ‚Válcová‘
 Tvar klíče	V případě potřeby tvar vybrání hlavy, například ‚Drážka‘, ‚Vnitřní šestihran‘
 Tvar matice	Tvar matice, například ‚Šestihranná‘, ‚Uzavřená‘, ‚Korunová‘, ‚Křídlová‘
 Tvar podložky	Tvar podložky, například ‚Standardní‘, ‚Čtvercová‘
	
 Typ prostředku zdravotnické techniky - všeobecně	Všeobecné atributy typu prostředku zdravotnické techniky.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“).
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
	
 Prvek - všeobecně	Všeobecné vlastnosti k definici všech výskytů IfcMember.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“), také označován jako „konstrukční typ“. Musí být poskytnuta jako alternativa k názvu „typ objektu“, pokud software typy objektů nepodporuje.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Rozpětí	"Světlé rozpětí pro tento objekt.
Informace o tvaru jsou poskytnuty navíc k zobrazení tvaru a použitým geometrickým parametrům. V případě nesouladu mezi geometrickými parametry a vlastnostmi tvaru, poskytnutými v přiložené vlastnosti, mají přednost geometrické parametry."
 Sklon	"Úhel sklonu - vztažený k horizontále (0,0 stupňů).
Informace o tvaru jsou poskytnuty navíc k zobrazení tvaru a použitým geometrickým parametrům. V případě nesouladu mezi geometrickými parametry a vlastnostmi tvaru, poskytnutými v přiložené vlastnosti, mají přednost geometrické parametry."
 Naklonění	"Otočení vůči podélné ose - vztažené na globální směr Z pro všechny prvky, které nejsou vertikální vzhledem ke globálnímu souřadnicovému systému (pro směr profilu rovnající se globálnímu Z je Naklonění rovno 0).
Informace o tvaru jsou poskytnuty navíc k zobrazení tvaru a použitým geometrickým parametrům. V případě nesouladu mezi geometrickými parametry a vlastnostmi tvaru, poskytnutými v přiložené vlastnosti, mají přednost geometrické parametry.
Poznámka: nová vlastnost v IFC4."
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Součinitel prostupu tepla	"Součinitel prostupu tepla (hodnota U) materiálu.
Zde je to celkový součinitel prostupu tepla skrze prvek ve směru tepelného toku (včetně všech materiálů).
Poznámka: nová vlastnost v IFC4."
 Nosnost	Udává, zda je objekt určen k nesení zátěže (TRUE) nebo nikoli (FALSE).
 Požární odolnost	"Požární odolnost tohoto objektu.
Udává se podle národní klasifikace požární bezpečnosti."
	
 Typ připojení motoru - všeobecně	Všeobecné vlastnosti připojení motoru.  HISTORIE: Přidáno do IFC4.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
	
 Otevírací prvek - všeobecně	Všeobecné vlastnosti k definici všech instancí IfcOpeningElement.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“). Používá se k uložení klasifikačně neřízeného vnitřního konstrukčního typu.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Účel	Udává účel otevírání, například „větrání“, „přístup“, atd.
 Nouzový východ	"Udává, zda je tento objekt určen k tomu, aby sloužil jako nouzový východ v případě požáru (TRUE) nebo nikoli (FALSE).
V tomto případě, zda prostor (například chodba) je navržena, aby sloužila jako únikový prostor, například pro účely únikové cesty."
 Chráněný otvor	Udává, zda je otvor považován za chráněný s ohledem na požární bezpečnost. V případě (TRUE) je považován za chráněný podle platných stavebních předpisů, v případě (FALSE) nikoli.
	
 Typ zásuvky - všeobecně	Všeobecné vlastnosti různých typů zásuvek.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Zásuvka je připojitelná	Udává, zda lze do zásuvky připojit vyjímatelnou zástrčku (= TRUE) nebo zda je zásuvka připojena napřímo (FALSE) nebo zda způsob připojení ještě nebyl určen (= UNKNOWN).
	
 Venkovní návrhová kritéria	Podmínky venkovního vzduchu používané jako podklad pro výpočet tepelných zatížení a také místo dat počasí, ze kterého byly tyto podmínky získány. HISTORIE: Nový soubor vlastností ve verzi IFC 1.0.
 Suchý teploměr pro vytápění	Venkovní teplota suchého teploměru pro návrh vytápění.
 Mokrý teploměr pro vytápění	Venkovní teplota mokrého teploměru pro návrh vytápění.
 Datum návrhu vytápění	Měsíc, den a čas, které byly zvoleny pro výpočty návrhu vytápění.
 Suchý teploměr pro chlazení	Venkovní teplota suchého teploměru pro návrh chlazení.
 Mokrý teploměr pro chlazení	Venkovní teplota mokrého teploměru pro návrh chlazení.
 Datum návrhu chlazení	Měsíc, den a čas, které byly zvoleny pro výpočty návrhu chlazení.
 Meteorologická datová stanice	Popis meteorologické datové stanice staveniště nebo reference na datový zdroj, ze kterého jsou meteorologická data získávána pro použití ve výpočtech.
 Datum meteorologických dat	Datum, kdy byla meteorologická data shromážděna.
 Tepelné působení budovy	Předpokládané tepelné působení budovy na základě okolních podmínek staveniště.
 Převládající směr větru	Převládající směrový úhel větru od zeměpisného severu (0 stupňů) ve směru hodinových ručiček.
 Převládající rychlost větru	Výpočtová rychlost větru přicházejícího ze směru určeného atributem PřevládajícíSměrVětru.
	
 Pokyny pro balení	Pokyny pro balení jsou specifické pokyny vztahující se k balení, které je vyžadováno pro výrobek v případě přemístění (nebo dopravy).
 Typ opatrnosti týkající se balení	"Udává předdefinované typy opatrnosti, které mohou být vyžadovány při manipulaci s výrobkem během přemísťování, například:

Křehký: výrobek se může během přemísťování rozbít, pokud s ním nebude zacházeno opatrně.
Opatrně: výrobek se může během přemísťování poškodit, pokud s ním nebude zacházeno opatrně."
 Obalový materiál	Zvláštní požadavky na materiál použitý pro balení výrobku.
 Materiál kontejneru	Zvláštní požadavky na materiál použitý pro kontejner výrobku.
 Zvláštní pokyny	Zvláštní pokyny pro balení.
	
 Povolení	"Povolení je doklad, který zajišťuje povolení přístupu do prostoru nebo provádění práce v situaci, kdy platí bezpečnostní nebo jiná přístupová omezení.
HISTORIE: Přidána vlastnost IFC4 KonečnéDatum. TypPovolení, DobaPovolení, DobaZahájení a DobaUkončení jsou vymazány."
 Požadavek na doprovod	"Udává, zda je nutný doprovod osob provádějících pracovní příkaz na pracovišti nebo do/z pracoviště (= TRUE) nebo nikoli (= FALSE).

POZNÁMKA - Existuje hodně případů, kdy je doprovod nutný, zvláště v zařízení, které má vysoký stupeň bezpečnosti. Realizace doprovodu může vyžadovat, aby byly osoby doprovázeny na pracoviště a z pracoviště. Nebo může vyžadovat, aby doprovod zůstal na pracovišti neustále."
 Doba zahájení	Datum a čas, od kterého se stává povolení platným.
 Doba ukončení	Datum a čas, od kterého pozbývá povolení platnost.
 Zvláštní požadavky	"Veškeré další zvláštní požadavky, které musí být zahrnuty v povolení k práci.

POZNÁMKA - Další požadavky povolení mohou být zahrnuty podle povahy zařízení, ve kterém je práce prováděna. Například v čistých prostorách může být vyžadován speciální oděv, zatímco v nápravných institucích možná bude nutné, jako bezpečnostní opatření, přihlásit a odhlásit nářadí, které bude používáno pro práci."
	
 Pilota - všeobecně	Všeobecné vlastnosti k definici všech výskytů IfcPile.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“).
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
	
 Potrubní přírubový spoj	Tento soubor vlastností se používá k definování detailů potrubního přírubového spoje používaného mezi výskyty potrubních dílů a armatur.
 Přírubový stůl	Označení standardního stolu, kterému odpovídá příruba.
 Standard příruby	Označení standardu popisujícího přírubový stůl.
 Velikost světlosti	Jmenovitá světlost potrubní příruby.
 Průměr příruby	Celkový průměr příruby.
 Tloušťka příruby	Tloušťka materiálu, ze kterého je potrubní oblouk vyroben.
 Počet otvorů pro šrouby	Počet otvorů pro šrouby v přírubě.
 Velikost šroubu	Velikost šroubů upevňujících přírubu.
 Rozteč otvorů pro šrouby	Průměr kružnice, na které jsou otvory pro šrouby umístěny.
	
 Výskyt potrubní armatury	Atributy výskytu potrubního dílu připojené k instanci IfcPipeSegment.
 Součinitel vnitřní drsnosti	Součinitel vnitřní drsnosti potrubního dílu.
 Barva	"Barva potrubního dílu.

Poznámka: Barva se obvykle používá pouze pro plastové potrubní díly. Ale může být použita pro jakékoli potrubní díly s povrchem opatřeným nátěrem, který není specifikován jako krycí vrstva."
	
 Historie provozu potrubní armatury	Všeobecné atributy historie provozu potrubní armatury.
 Ztrátový součinitel	Bezrozměrný ztrátový součinitel používaný pro výpočet odporu tekutiny představující poměr celkové tlakové ztráty k dynamickému tlaku pro referenční průřez.
 Průtočná ztráta	Průtočná ztráta v závislosti na tlakovém rozdílu.
	
 Typ potrubního dílu - oblouk	Atributy typu potrubního dílu pro tvary oblouku.
 Úhel oblouku	Změna směru toku.
 Poloměr oblouku	Poloměr ohybu v případě kruhového oblouku nebo nula v případě ostrého oblouku.
	
 Typ potrubního dílu - všeobecně	Všeobecné atributy typu potrubní armatury.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“).
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Třída tlaku	Klasifikace zkušebního nebo jmenovitého tlaku armatury.
 Rozsah tlaku	Přípustný maximální a minimální pracovní tlak (vztažený na okolní tlak).
 Rozsah teploty	Přípustná maximální a minimální teplota.
 Ztrátový činitel	Činitel, který určuje ztrátu tlaku způsobenou třením skrze armaturu.
	
 Typ potrubního dílu - spoj	Atributy typu potrubního dílu pro tvary spoje.
 Typ spoje	Typ spoje. TEE=3 otvory, CROSS = 4 otvory.
 Úhel levého spoje	Změna směru toku pro levý spoj.
 Poloměr levého spoje	Poloměr ohybu pro levý spoj.
 Úhel pravého spoje	Změna směru toku pro pravý spoj, kde 0 označuje přímý díl.
 Poloměr pravého spoje	Poloměr ohybu pro pravý spoj, kde 0 označuje ostrý oblouk.
	
 Výskyt potrubního dílu	Atributy výskytu potrubního dílu připojené k instanci IfcPipeSegment.
 Součinitel vnitřní drsnosti	Součinitel vnitřní drsnosti potrubního dílu.
 Barva	"Barva potrubního dílu.

Poznámka: Barva se obvykle používá pouze pro plastové potrubní díly. Ale může být použita pro jakékoli potrubní díly s povrchem opatřeným nátěrem, který není specifikován jako krycí vrstva."
 Sklon	Sklon potrubního dílu.
 Výška dna potrubí	Výška dna potrubí vztažená na vztažnou rovinu stanovenou pro projekt.
	
 Historie provozu potrubního dílu	Všeobecné atributy historie provozu potrubního dílu.
 Křivka ztrát	Křivka ztrát na jednotku délky v závislosti na pracovním tlaku.
 Ztráta průtoku tekutiny	Objemová ztráta průtoku.
	
 Typ potrubního dílu - všeobecně	Všeobecné atributy typu potrubního dílu.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“).
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Pracovní tlak	Pracovní tlak.
 Rozsah tlaku	Přípustný maximální a minimální pracovní tlak (vztažený na okolní tlak).
 Rozsah teploty	Přípustná maximální a minimální teplota.
 Jmenovitý průměr	Jmenovitý průměr potrubního dílu.
 Vnitřní průměr	Skutečný vnitřní průměr potrubí.
 Vnější průměr	Skutečný vnější průměr potrubí.
	
 Typ potrubního dílu - propustek	Zakrytý kanál nebo velké potrubí, které tvoří koryto vodního toku pod úrovní země, obvykle pod silnicí nebo železnicí (BS6100).
 Vnitřní šířka	Vnitřní šířka propustku.
 Světlá hloubka	Světlá hloubka propustku.
	
 Typ potrubního dílu - okap	Všeobecné atributy okapu.
 Sklon	Úhel okapu zajišťující odvodnění.
 Průtočné množství	Skutečný maximální průtok pro okap. Hodnota 0,00 znamená, že tato hodnota nebyla nastavena.
	
 Deska - všeobecně	Všeobecné vlastnosti k definici všech výskytů IfcPlate.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“), také označován jako „konstrukční typ“. Musí být poskytnuta jako alternativa k názvu „typ objektu“, pokud software typy objektů nepodporuje.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Nosnost	Udává, zda je objekt určen k nesení zátěže (TRUE) nebo nikoli (FALSE).
 Maximální hodnoty zvuku	"Maximální hodnoty zvuku pro tento objekt.
Jsou určeny podle národních stavebních předpisů. Udávají odolnost proti zvukové propustnosti tohoto objektu indexovým ukazatelem (místo zajištění hodnot absorpce zvuku)."
 Požární odolnost	"Požární odolnost tohoto objektu.
Udává se podle národní klasifikace požární bezpečnosti."
 Součinitel prostupu tepla	"Součinitel prostupu tepla (hodnota U) materiálu.
Platí pro celkovou konstrukci dveří."
	
 Výroba prefabrikovaných betonových prvků	Definice z IAI: Vlastnosti týkající se výroby, které jsou všeobecné pro různé typy prefabrikovaných betonových prvků. Pset platí pro vyráběné kusy. Může být použit řadou subtypů IfcBuildingElement. V případě prefabrikovaného betonového prvku
 Indikátor typu	Indikátor typu pro prefabrikovaný betonový prvek. Obsah závisí na místních normách. Například ve Finsku je obvykle jednopísmenný akronym, například P=sloup, K=železobetonový nosník, atd.
 Id výrobní série	Identifikátor výrobní série výrobce.
 Výrobní číslo	Výrobní číslo výrobce pro prefabrikovaný betonový prvek.
 Značka kusu	Definuje jedinečný kus pro výrobní účely. Všechny kusy se stejnou hodnotou značky kusu jsou stejné a vzájemně zaměnitelné. Značka kusu může být složena z dílčích částí, které specificky místně definují význam (například B-1A může znamenat nosník druhového typu ‚1‘ a specifického tvaru ‚A‘).
 Číslo skutečného umístění	Definuje jedinečné umístění konstrukce, ‚otvor‘, do kterého byl kus nainstalován. Tam, kde kusy sdílejí stejnou značku kusu, je lze vzájemně zaměnit. Hodnota je známa až po montáži.
 Skutečné datum výroby	Datum výroby (získané z formuláře).
 Skutečné datum montáže	Datum dokončené montáže.
	
 Prefabrikované betonové prvky - všeobecně	Definice z IAI: Vlastnosti týkající se výroby, které jsou všeobecné pro různé typy prefabrikovaných betonových prvků. Pset může být použit řadou subtypů IfcBuildingElement. Pokud je prefabrikovaný betonový prvek sendvičový stěnový panel, může být v případě potřeby každá konstrukční vrstva nebo zdivo, které je reprezentováno vlastností IfcBuildingElementPart, připojeno k samostatnému Pset tohoto typu. Některé z vlastností platí pouze pro specifické typy prefabrikovaných betonových prvků.
 Indikátor typu	Indikátor typu pro prefabrikovaný betonový prvek. Obsah závisí na místních normách. Například ve Finsku je obvykle jednopísmenný akronym, například P=sloup, K=železobetonový nosník, atd.
 Zkosení hran	Zkosení hran prefabrikovaného prvku. Předpokládá se, že zkosení je stejné v obou směrech.
 Třída výrobní tolerance	Klasifikační určení výrobních tříd podle místních norem.
 Pevnost při odbednění	Minimální požadovaná pevnost betonu v tlaku v době odbednění.
 Pevnost při zdvihání	Minimální požadovaná pevnost betonu v tlaku, když je betonový prvek zdvihán.
 Pevnost po uvolnění napětí	Minimální požadovaná pevnost betonu v tlaku, když je uvolněno napětí předpínací výztuže. Tato vlastnost platí pouze pro prvky z předpjatého betonu.
 Minimální přípustná délka výztuže	Minimální přípustná délka výztuže.
 Počáteční napětí	Počáteční napětí předpínací výztuže. Tato vlastnost platí pouze pro prvky z předpjatého betonu.
 Uvolnění předpínací výztuže	Maximální přípustné uvolnění předpínací výztuže (obvykle vyjádřeno v %/1000 h). Tato vlastnost platí pouze pro prvky z předpjatého betonu.
 Pevnost při dopravě	Minimální požadovaná pevnost betonu v tlaku vyžadovaná pro dopravu.
 Popis podepření během dopravy	Textový popis, jak je betonový prvek podepřen během dopravy.
 Reference na dokumentaci definující podepření během dopravy	Reference na externí dokumentaci definující, jak je betonový prvek podepřen během dopravy.
 Zazátkování dutých jader	Popisný štítek definující, jak jsou ošetřeny konce dutých jader: mohou být ponechány otevřené, mohou být zavřené pomocí zátek nebo utěsněné litým betonem. Hodnoty jsou například následující: „Nezátkované“, „Zátkované“, „UtěsněnéBetonem“. Tato vlastnost platí pouze pro duté jádrové desky.
 Prohnutí ve středu rozpětí	Odchylka prohnutí měřená od středu prohnutého čela kusu ke středu pásnice spojující konce stejného čela, jak je níže znázorněno na obrázku, dělená původní (jmenovitou) přímou délkou čela kusu.
 Úhel odklonu od svislice na počátku	Úhel v radiánech, o který se musí bednění na počátečním čele kusu otočit od svislice, aby kompenzovalo otočení čela, ke kterému dochází, jakmile je kus odbedněn, a vytváří prohnutí vlivem excentrického předpětí.
 Úhel odklonu od svislice na konci	Úhel v radiánech, o který se musí bednění na koncovém čele kusu otočit od svislice, aby kompenzovalo otočení čela, ke kterému dochází, jakmile je kus odbedněn, a vytváří prohnutí vlivem excentrického předpětí.
 Otočení	Úhel v radiánech, o který se koncové čelo prefabrikovaného kusu otočí vzhledem k počátečnímu čelu, podél své podélné osy, v důsledku nevyrovnaných podpěr. Tento rozsah se také nazývá úhel „zkroucení“.
 Zkrácení	Poměr vzdálenosti, o kterou se prefabrikovaný kus zkrátí po uvolnění ze svého bednění (vlivem stlačení vytvořeného předpětím), k jeho původní (jmenovité) délce.
 Značka kusu	Definuje jedinečný kus pro výrobní účely. Všechny kusy se stejnou hodnotou značky kusu jsou stejné a vzájemně zaměnitelné. Značka kusu může být složena z dílčích částí, které specificky místně definují význam (například B-1A může znamenat nosník druhového typu „1“ a specifického tvaru „A“).
 Číslo navrženého umístění	Definuje jedinečné umístění konstrukce, „otvor“, do kterého byl kus navržen.
	
 Prefabrikovaná deska	Definice z IAI: Rozmístění a informace o komponentech definující, jak jsou předpjaté komponenty desky rozmístěny v sestavě prefabrikované desky. Hodnoty jsou globální výchozí hodnoty pro desku jako celek, ale mohou být nahrazeny místními umístěními jednotlivých komponentů.
 Indikátor typu	Indikátor typu pro prefabrikovanou betonovou desku vyjadřující hlavně typ komponentu. Možné hodnoty jsou „Duté jádro“, „Průřez dvojitého T“, „Plochá deska“, atd.
 Typ horní vrstvy	Definuje, zda je horní vrstva aplikována a jakého druhu. Hodnoty jsou „Úplná horní vrstva“, „Obvodový nátěr“, „Žádný“
 Vzdálenost hrany k první ose	Vzdálenost od levé („západní“) hrany desky (ve směru rozpětí komponentů) k ose prvního komponentu.
 Vzdálenost mezi osami komponentů	Vzdálenost mezi osami komponentů měřená podél ‚jižní‘ hrany desky.
 Úhel k první ose	Úhel otočení osy prvního komponentu vzhledem k ‚západní‘ hraně desky.
 Úhel mezi osami komponentů	Úhel mezi osami každého páru komponentů.
 Jmenovitá tloušťka	Jmenovitá celková tloušťka desky.
 Jmenovitá tloušťka vrchní vrstvy	Jmenovitá tloušťka vrchní vrstvy.
	
 Dohodnuté profily s průřezem dvojitého T	Toto je soubor geometrických vlastností profilů s průřezem dvojitého T prefabrikovaných betonových prvků, které se použijí ve spojení s IfcArbitraryProfileDef, když vlastní označení profilu nesplňuje požadavky na informace.
 Celková šířka	Celková šířka profilu.
 Šířka levé příruby	Šířka levé příruby profilu.
 Šířka pravé příruby	Šířka pravé příruby profilu.
 Celková hloubka	Celková hloubka profilu.
 Hloubka příruby	Hloubka příruby profilu.
 Lem příruby	Lem příruby profilu.
 Úkos příruby	Úkos příruby profilu.
 Základní zaoblení příruby	Základní zaoblení příruby profilu.
 Horní zaoblení příruby	Horní zaoblení příruby profilu.
 Základní šířka dříku	Základní šířka dříku profilu.
 Horní šířka dříku	Horní šířka dříku profilu.
 Základní úkos dříku	Základní úkos dříku profilu.
 Horní úkos dříku	Horní úkos dříku profilu.
 Základní zaoblení dříku	Základní zaoblení dříku profilu.
 Horní zaoblení dříku	Horní zaoblení dříku profilu.
	
 Dohodnuté profily s průřezem dutého jádra	"Toto je soubor geometrických vlastností profilů s průřezem dutého jádra prefabrikovaných betonových prvků, které se použijí ve spojení s IfcArbitraryProfileDefWithVoids, když vlastní označení profilu nesplňuje požadavky na informace.  

Ve všech případech jsou jádra symetricky rozdělena na každé straně osy desky bez ohledu na skutečnost, zda je počet jader lichý nebo sudý. Pro desky se středovým jádrem s rozdílnou geometrií, než mají ostatní jádra stanovte vlastnost CenterCoreSpacing. Když je počet jader sudý, nebudou uplatněny žádné vlastnosti Středového jádra.

Úkosy klíčů a úkos lemu jsou všechny úkosy 45 stupňů.

Parametry CoreTopRadius a CoreBaseRadius mohou být odvozeny a proto nejsou v souboru vlastností uvedeny. Jsou uvedeny pro definování, že křivky jsou oblouky. Parametry pro středové jádro jsou stejné jako výše, ale s předponou „Středové“."
 Celková šířka	Celková šířka profilu.
 Celková hloubka	Celková hloubka profilu.
 Lem hrany	Lem hrany profilu.
 Základní odchylka lemu	Základní odchylka lemu profilu.
 Boční odchylka lemu	Boční odchylka lemu profilu.
 Základní úkos	Základní úkos profilu.
 Hloubka klíče	Hloubka klíče profilu.
 Výška klíče	Výška klíče profilu.
 Odchylka klíče	Odchylka klíče profilu.
 Spodní kryt	Spodní kryt profilu.
 Rozteč jader	Rozteč jader profilu.
 Základní výška jader	Základní výška jader profilu.
 Střední výška jader	Střední výška jader profilu.
 Horní výška jader	Horní výška jader profilu.
 Základní šířka jader	Základní šířka jader profilu.
 Horní šířka jader	Horní šířka jader profilu.
 Rozteč středových jader	Rozteč středových jader profilu.
 Základní výška středových jader	Základní výška středových jader profilu.
 Střední výška středových jader	Střední výška středových jader profilu.
 Horní výška středových jader	Horní výška středových jader profilu.
 Základní šířka středových jader	Základní šířka středových jader profilu.
 Horní šířka středových jader	Horní šířka středových jader profilu.
 Počet jader	Počet jader.
	
 Profil - mechanické vlastnosti	Toto je soubor mechanických vlastností, které platí pro prakticky všechny třídy profilu. Většina těchto vlastností se zvláště používá v strukturální analýze.
 Hmotnost na délku	Hmotnost na délku, tj. hmotnost nosníku s jednotkou délky vytlačení. Měřená například v kg/m.
 Plocha průřezu	Plocha profilu. Měřená například v mm2. Pokud je hodnota plochy průřezu stanovena, musí být větší než nula.
 Obvod	Obvod profilu pro výpočet plochy povrchu. Měřený například v mm.
 Minimální tloušťka desky	Tato hodnota může být potřebná pro analýzu napětí a pro řešení problémů s prohýbáním. Také může být odvozena ze stanovené geometrie nebo klasifikace profilu a proto je pouze volitelnou vlastností umožňující explicitní popis. Měřený například v mm.
 Maximální tloušťka desky	Tato hodnota může být potřebná pro analýzu napětí a pro řešení problémů s prohýbáním. Také může být odvozena ze stanovené geometrie nebo klasifikace profilu a proto je pouze volitelnou vlastností umožňující explicitní popis. Měřená například v mm.
 Těžiště v X	Umístění těžiště profilu (geometrické těžiště) měřeného podél xp.
 Těžiště v Y	Umístění těžiště profilu (geometrické těžiště) měřeného podél yp.
 Střed smyku Z	Umístění středu smyku profilu měřeného podél zs.
 Střed smyku Y	Umístění středu smyku profilu měřeného podél ys.
 Moment setrvačnosti Y	Moment setrvačnosti kolem ys (moment setrvačnosti plochy, kolem ys). Měřený například v mm4.
 Moment setrvačnosti Z	Moment setrvačnosti kolem zs (moment setrvačnosti plochy, kolem zs). Měřený například v mm4
 Moment setrvačnosti Y Z	Moment setrvačnosti kolem ys a zs (násobný moment setrvačnosti plochy). Měřený například v mm4.
 Torzní konstanta X	Torzní konstanta kolem xs. Měřený například v mm4.
 Konstanta zkroucení	Konstanta zkroucení profilu pro torzní působení. Měřená například v mm6.
 Plocha smykové deformace Z	Plocha profilu pro výpočet smykové deformace způsobené smykovou silou rovnoběžnou se zs. Měřená například v mm². Pokud je plocha smykové deformace stanovena, hodnota zs nesmí být záporná.
 Plocha smykové deformace Y	Plocha profilu pro výpočet smykové deformace způsobené smykovou silou rovnoběžnou s ys. Měřená například v mm². Pokud je plocha smykové deformace stanovena, hodnota ys nesmí být záporná.
 Maximální modul průřezu Y	Odolnost v ohybu kolem osy ys v bodě s maximální pořadnicí zs. Měřená například v mm³.
 Minimální modul průřezu Y	Odolnost v ohybu kolem osy ys v bodě s minimální pořadnicí zs. Měřená například v mm³.
 Maximální modul průřezu Z	Odolnost v ohybu kolem osy zs v bodě s maximální pořadnicí ys. Měřená například v mm³.
 Minimální modul průřezu Z	Odolnost v ohybu kolem osy zs v bodě s minimální pořadnicí ys. Měřená například v mm³.
 Modul pružnosti průřezu v kroucení	Odpor proti kroucení (kolem xs). Měřená například v mm³.
 Plocha smyku Z	Plocha profilu pro výpočet napětí ve smyku způsobeného smykovou silou rovnoběžnou s osou zs analýzy průřezu. Měřená například v mm². Pokud je plocha smyku stanovena, hodnota zs nesmí být záporná.
 Plocha smyku Y	Plocha profilu pro výpočet napětí ve smyku způsobeného smykovou silou rovnoběžnou s osou ys analýzy průřezu. Měřená například v mm². Pokud je plocha smyku stanovena, hodnota ys nesmí být záporná.
 Součinitel plastického tvaru Y	Poměr plastické k elastické ohybové momentové schopnosti kolem osy ys analýzy průřezu. Bezrozměrná hodnota.
 Součinitel plastického tvaru Z	Poměr plastické k elastické ohybové momentové schopnosti kolem osy zs analýzy průřezu. Bezrozměrná hodnota.
	
 Příkaz projektu - změnový příkaz	Změnový příkaz je pokyn k provedení změny vyráběného výrobku nebo prováděné práce. Stav změnového příkazu je definován stejným způsobem jako stav pracovního příkazu, protože změnový příkaz vyplývá z pracovního požadavku.
 Důvod změny	Popis problému, kvůli kterému je změna nutná.
 Zdroj rozpočtu	Je nutný zdroj rozpočtu.
	
